"alias","treatment_name","culture","starch_g_per_kg","tuber_FW_kg_per_plant","starch_yield_g_per_plant"
"AR23","control","72275",188.333333333333,1.07866666666667,203.4412
"AR23","control","72292",154.279066666667,0.390826666666667,60.1080544366667
"AR23","control","72396",200.6207,0.989,198.4588202
"AR23","control","72482",196.324945936,1.089,213.796335925389
"AR23","drought stress","72247",169,0.84,141.431333333333
"AR23","drought stress","72275",152,0.335466666666667,51.2761333333333
"AR23","drought stress","72292",149.401,0.25692,38.36163097
"AR23","drought stress","72396",191.213,0.561,107.270493
"AR23","drought stress","72482",179.3890800595,0.878,157.753202803208
"AR241","control","72247",210.666666666667,1.36433333333333,287.616333333333
"AR241","control","72275",209.333333333333,1.30533333333333,273.087466666667
"AR241","control","72292",186.334933333333,0.397316666666667,73.9598570183333
"AR241","control","72396",223.6173,1.3526,302.57158964
"AR241","control","72482",203.629783811,1.581,321.846996348315
"AR241","drought stress","72247",175.666666666667,0.554666666666667,97.0836666666667
"AR241","drought stress","72275",182,0.449733333333333,81.9549333333333
"AR241","drought stress","72292",162.293033333333,0.23097,37.4511040153333
"AR241","drought stress","72396",218.3908,0.5864,127.8737024
"AR241","drought stress","72482",184.828623925,1.2425,229.52019342914
"AR245","control","72247",263,0.993666666666667,261.596333333333
"AR245","control","72275",235.333333333333,1.22973333333333,289.121333333333
"AR245","control","72292",192.2583,0.37879,72.859378724
"AR245","control","72396",245.5686,1.3126,322.46965148
"AR245","control","72482",207.7199027335,0.8785,182.568322427295
"AR245","drought stress","72247",172.4,0.430333333333333,91.378
"AR245","drought stress","72275",201.666666666667,0.375466666666667,75.7482666666667
"AR245","drought stress","72292",182.8506,0.2002775,36.3997905445
"AR245","drought stress","72396",245.5686,0.5808,142.85704512
"AR245","drought stress","72482",196.8888556865,0.6845,134.746693226222
"AR247","control","72247",225.666666666667,1.20466666666667,272.144666666667
"AR247","control","72275",199,1.3488,267.6684
"AR247","control","72292",162.293033333333,0.410528333333333,66.368037947
"AR247","control","72396",200.6207,1.408,283.00119492
"AR247","control","72482",184.7696982715,1.223,225.878309324851
"AR247","drought stress","72247",189.666666666667,0.459,87.401
"AR247","drought stress","72275",179.666666666667,0.3944,71.2666666666667
"AR247","drought stress","72292",169.610133333333,0.234938333333333,39.7886767606667
"AR247","drought stress","72396",213.1643,0.4836,103.20040224
"AR247","drought stress","72482",187.404873681,0.9,168.114914273862
"AR254","control","72247",228.166666666667,1.025,233.067333333333
"AR254","control","72275",215,1.35053333333333,288.9276
"AR254","control","72292",187.0318,0.393426666666667,73.2706065926667
"AR254","control","72396",208.9831,1.387,289.64694568
"AR254","control","72482",191.465850371,1.376,263.504192389564
"AR254","drought stress","72247",202,0.413,82.123
"AR254","drought stress","72275",180.666666666667,0.4088,73.8384
"AR254","drought stress","72292",178.320966666667,0.214413333333333,38.2836032673333
"AR254","drought stress","72396",233.025,0.5072,118.03473936
"AR254","drought stress","72482",189.5009487865,1.085,205.640919498207
"AR256","control","72247",245.166666666667,1.16766666666667,286.245666666667
"AR256","control","72275",196.666666666667,1.12413333333333,221.5608
"AR256","control","72292",208.634666666667,0.372125,77.5637325516667
"AR256","control","72396",228.8438,1.1026,252.40805224
"AR256","control","72482",202.566986638,0.699,141.744106252826
"AR256","drought stress","72247",204.333333333333,0.600333333333333,121.331333333333
"AR256","drought stress","72275",166.333333333333,0.404,67.5370666666667
"AR256","drought stress","72292",196.787933333333,0.212455,41.7879705446667
"AR256","drought stress","72396",222.572,0.4754,106.0490572
"AR256","drought stress","72482",198.142869377,0.669,132.75934148169
"AR269","control","72247",209.833333333333,1.05233333333333,223.048666666667
"AR269","control","72275",209,1.06306666666667,222.214666666667
"AR269","control","72292",174.836633333333,0.345145,60.2876673056667
"AR269","control","72396",190.1677,1.0854,204.79930488
"AR269","control","72482",177.80173372,0.85,151.1656908752
"AR269","drought stress","72247",176.5,0.921333333333333,159.027666666667
"AR269","drought stress","72275",178.333333333333,0.3796,67.5206666666667
"AR269","drought stress","72292",162.9899,0.234785,38.2628188456667
"AR269","drought stress","72396",211.0737,0.407,85.87835468
"AR269","drought stress","72482",193.2519089735,0.919,178.803647195243
"AR28","control","72247",201.833333333333,1.07466666666667,219.708333333333
"AR28","control","72275",191,1.16106666666667,221.984933333333
"AR28","control","72292",161.9446,0.380793333333333,61.5712459963333
"AR28","control","72396",191.213,1.1964,228.7672332
"AR28","control","72482",172.1822699095,1.262,215.715897711348
"AR28","drought stress","72247",189.166666666667,0.490666666666667,93.864
"AR28","drought stress","72275",161.333333333333,0.2956,47.3965333333333
"AR28","drought stress","72292",160.8993,0.231805,37.201601607
"AR28","drought stress","72396",192.2583,0.4242,81.56663292
"AR28","drought stress","72482",188.0661704595,1.064,200.121626783881
"AR282","control","72247",207.833333333333,1.22033333333333,252.333666666667
"AR282","control","72275",199.333333333333,1.3668,272.538533333333
"AR282","control","72292",215.603333333333,0.365595,78.8221661503333
"AR282","control","72396",219.4361,1.2472,274.12098428
"AR282","control","72482",197.6418474825,1.151,227.509091772249
"AR282","drought stress","72247",187.5,0.701,131.640666666667
"AR282","drought stress","72275",188.333333333333,0.3944,74.1606666666667
"AR282","drought stress","72292",184.244333333333,0.209166666666667,38.556610523
"AR282","drought stress","72396",219.4361,0.561,123.45550008
"AR282","drought stress","72482",189.544329125,0.9325,176.713602634506
"AR285","control","72247",236,1.33533333333333,312.118
"AR285","control","72275",197,1.52146666666667,297.6052
"AR285","control","72292",173.094466666667,0.384028333333333,66.1141410606667
"AR285","control","72396",206.8925,1.3784,284.02075712
"AR285","control","72482",200.053570597,1.426,286.079965960654
"AR285","drought stress","72247",201.666666666667,0.468,94.2403333333333
"AR285","drought stress","72275",178,0.450533333333333,79.5745333333333
"AR285","drought stress","72292",186.334933333333,0.24113,44.817039618
"AR285","drought stress","72396",220.4814,0.6984,154.03438416
"AR285","drought stress","72482",199.9256412695,1.174,234.689690736272
"AR293","control","72247",219.666666666667,1.51566666666667,330.708666666667
"AR293","control","72275",198.666666666667,1.11746666666667,222.5636
"AR293","control","72292",187.728666666667,0.392801666666667,73.5694449493333
"AR293","control","72396",218.3908,1.5994,346.96740772
"AR293","control","72482",203.055905278,1.178,239.110783305168
"AR293","drought stress","72247",176,0.966333333333333,170.669
"AR293","drought stress","72275",175,0.346933333333333,61.0186666666667
"AR293","drought stress","72292",179.017833333333,0.222913333333333,39.8835129773333
"AR293","drought stress","72396",216.3002,0.6656,143.88829784
"AR293","drought stress","72482",193.055274074,0.9525,184.272615766044
"AR55","control","72247",218,1.45433333333333,315.872666666667
"AR55","control","72275",211.666666666667,1.31293333333333,277.5176
"AR55","control","72292",190.1677,0.365948333333333,69.5951887706667
"AR55","control","72396",216.3002,1.2018,259.8082558
"AR55","control","72482",196.0727449865,1.15,225.174263186102
"AR55","drought stress","72247",194.666666666667,0.630666666666667,122.810333333333
"AR55","drought stress","72275",193,0.411466666666667,80.2837333333333
"AR55","drought stress","72292",199.226966666667,0.186221666666667,37.078454933
"AR55","drought stress","72396",226.7532,0.5056,114.64641792
"AR55","drought stress","72482",190.8139468445,0.8985,171.696197316381
"AR56","control","72247",223.333333333333,1.28266666666667,286.326666666667
"AR56","control","72275",192.666666666667,1.42306666666667,273.1684
"AR56","control","72292",165.428933333333,0.380501666666667,62.8765014343333
"AR56","control","72396",192.2583,1.3792,265.31442492
"AR56","control","72482",186.2382677175,1.41,262.491791008245
"AR56","drought stress","72247",198.333333333333,0.587333333333333,116.717666666667
"AR56","drought stress","72275",162.666666666667,0.4064,66.0961333333333
"AR56","drought stress","72292",157.066533333333,0.215108333333333,33.7482317986667
"AR56","drought stress","72396",212.119,0.5744,122.43572024
"AR56","drought stress","72482",182.243303075,1.042,189.817592412534
"AR59","control","72247",211.666666666667,1.359,287.340333333333
"AR59","control","72275",210,1.11973333333333,234.762
"AR59","control","72292",174.139766666667,0.368368333333333,64.0529440243333
"AR59","control","72396",202.7113,1.0524,212.5657038
"AR59","control","72482",187.1712252035,0.987,184.727923030848
"AR59","drought stress","72247",200.666666666667,0.911333333333333,184.684666666667
"AR59","drought stress","72275",179,0.3604,64.9204
"AR59","drought stress","72292",164.0352,0.211368333333333,34.6412439323333
"AR59","drought stress","72396",205.8472,0.3602,74.15494196
"AR59","drought stress","72482",190.1843753045,0.717,136.255009056222
"AR67","control","72247",244,1,245.159
"AR67","control","72275",199.333333333333,1.04413333333333,209.3008
"AR67","control","72292",177.972533333333,0.38024,67.4825088283333
"AR67","control","72396",196.4395,0.9028,177.5964526
"AR67","control","72482",178.1260312635,0.73,130.14756159863
"AR67","drought stress","72247",226.166666666667,0.377333333333333,84.5376666666667
"AR67","drought stress","72275",174,0.273466666666667,47.4885333333333
"AR67","drought stress","72292",175.5335,0.209533333333333,36.669895966
"AR67","drought stress","72396",200.6207,0.313,62.74974932
"AR67","drought stress","72482",186.008875716,0.643,120.001936561803
"EA111","control","72247",258,1.38,353.575333333333
"EA111","control","72275",208.333333333333,0.682666666666667,141.369066666667
"EA111","control","72292",207.240933333333,0.39039,80.8175123826667
"EA111","control","72396",233.025,1.1793,275.51906804
"EA111","control","72482",211.214649139,1.344,283.870911534456
"EA111","drought stress","72247",223.333333333333,0.713333333333333,158.225666666667
